Topic;Topic Number;Moscow Institute of Physics and Technology;Novosibirsk State University;St. Petersburg State University;Tomsk Polytechnic University;I.M. Gubkin Russian State University of Oil and Gas;Peter the Great St. Petersburg Polytechnic University;St. Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO);Tyumen State University;Tyumen State Oil and Gas University;Ufa State Petroleum Technological University;Skolkovo Institute of Science and Technology
"Aftershock; Earthquake Catalogue; Seismicity";T.1611;0;0;0.058051747;0;0;0;0;0;0;0;0.008653314
"Eurasian Plate; Ryukyu; Arc-Continent Collision";T.2859;0;0.011537404;0;0;0;0;0;0;0;0;0
"Monzonite; Diorite; Petrogenesis";T.3606;0;0.001856771;0;0;0.005900367;0;0;0;0;0;0
"Helmholtz Decomposition; Reaction Time; Wave Equations";T.3719;0.110839932;0.011432194;0;0;0;0;0;0;0;0;0
"African Rift System; Geological Faults; Afar";T.3806;0;0.010318893;0.024786143;0;0;0;0;0;0;0;0
"Magnetic Clouds; Coronal Mass Ejection; Solar Wind";T.4916;0;0;0.018499336;0;0;0;0;0;0;0;0
"Dead Sea; Messinian; Gulf of Aqaba";T.5477;0;0.012579594;0.005667061;0;0;0;0;0;0;0;0
"Magnetic Storms; Ionospherics; Total Electron Content";T.6060;0;0;0.010020604;0;0;0;0;0;0;0;0
"Upper Mantle; Crustal Thickness; Asthenosphere";T.6328;0.003422243;0.006139634;0.002176771;0;0;0;0;0;0;0;0
"Foreshock; Magnetosheath; Interplanetary Shock Waves";T.7900;0.00274566;0;0.027202182;0;0;0.019276457;0;0;0;0;0
"Ionospheric Heating; Sura; F Region";T.8093;0.016714404;0;0.007543209;0;0;0;0.002674549;0;0;0;0
"Induced Seismicity; Fluid Injection; Hydraulic Fracturing";T.9231;0.015433974;0;0;0;0;0;0;0;0;0;0
"Graben; North Sea; Jurassic";T.10837;0;0;0;0;0.002994549;0;0;0;0;0;0.0149694
"Radon; Soil Gas; Earthquake Precursor";T.11700;0;0;0;0.008978845;0;0;0;0;0.007811771;0;0
"Magma; Enclaves; Pluton";T.14694;0;0.013647271;0;0;0;0;0;0;0;0;0
"Fluid Inclusion; Hydrocarbon Generation; Petrography";T.15394;0;0;0;0.011269554;0;0;0;0;0;0;0
"Normal Fault; Suez; Hanging Wall";T.15468;0;0.015659827;0.002638994;0.002638994;0;0;0;0;0;0;0
"Indian Plate; Muji; Hindu";T.15567;0;0.028516281;0.035039159;0;0;0;0;0;0;0;0
"Environmental Engineering; Stratosphere; Aerosols";T.16676;0;0;0;0;0;0.007352613;0.002034549;0;0;0;0
"Variogram; Indicator Kriging; Geostatistics";T.17278;0;0;0.016030536;0;0;0.016468281;0;0;0;0;0
"Magma; Partition Coefficients; Silicate Melt";T.17900;0;0;0.0168818;0;0;0;0;0;0;0;0
"Blind Deconvolution; Seismic Data; Wavelets";T.19223;0;0;0.002958994;0.009392396;0;0;0;0;0;0;0
"Shales; Kerogen; Bedding Plane";T.24036;0;0;0;0;0.002034549;0;0;0;0;0;0.026147903
"Gaussian Beams; Seismic Migration; Rays";T.24562;0;0.013462935;0;0;0;0;0;0;0;0;0
"Transform Faults; Peridotite; Mid-Ocean Ridge Basalt";T.30008;0;0.039992911;0;0;0;0;0;0;0;0;0
"Radioelement; Gamma Spectrometry; Radiation Monitoring";T.30222;0;0;0.003101216;0.006995004;0;0;0;0;0;0;0
"Subduction Zone; Orthopyroxene; Solidus";T.30572;0.003563438;0.021393181;0;0;0;0;0;0;0;0;0
"Outcrops; Earth Sciences; Terrestrial Laser Scanning";T.36045;0;0;0;0;0.076688189;0;0;0;0;0;0
